ID,Genus,Division,Percent,Adjusted,Adjusted,log.per,sqrt.per,N15,Adjusted,sqrt.n15,log.n15,Exact_Depth,Depth,Zone,Site,Location,Region
NWHI-450,Veleroa sp.,Rhodophyta,1.7,0.017,0.018,-1.744727495,0.134164079,4,6.5,2.549509757,0.812913357,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-385,Ulva/Umbraulva,Chlorophyta,0.4,0.004,0.005,-2.301029996,0.070710678,4.1,6.6,2.569046516,0.819543936,57,51-60,Mesophotic,Kure,a,NWHI
NWHI-426,Ulva/Umbraulva,Chlorophyta,1.1,0.011,0.012,-1.920818754,0.109544512,4.6,7.1,2.664582519,0.851258349,90,81-90,Mesophotic,Kure,a,NWHI
NWHI-445,Ulva/Umbraulva,Chlorophyta,1.4,0.014,0.015,-1.823908741,0.122474487,4.6,7.1,2.664582519,0.851258349,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-397,Ulva/Umbraulva,Chlorophyta,1.7,0.017,0.018,-1.744727495,0.134164079,4.8,7.3,2.701851217,0.86332286,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-389,Sporochnus sp.,Phaeophyceae,0.9,0.009,0.01,-2,0.1,4.2,6.7,2.588435821,0.826074803,57,51-60,Mesophotic,Kure,a,NWHI
NWHI-456,Sporochnus sp.,Phaeophyceae,1.3,0.013,0.014,-1.853871964,0.118321596,1.8,4.3,2.073644135,0.633468456,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-390,Sargassum sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,2.4,4.9,2.213594362,0.69019608,57,51-60,Mesophotic,Kure,a,NWHI
NWHI-418,Sargassum sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,2.7,5.2,2.28035085,0.716003344,52,51-60,Mesophotic,Kure,a,NWHI
NWHI-442,Sargassum sp.,Phaeophyceae,1,0.01,0.011,-1.958607315,0.104880885,2.9,5.4,2.323790008,0.73239376,87,81-90,Mesophotic,Kure,a,NWHI
NWHI-451,Peyssonnelia sp.,Rhodophyta,1.4,0.014,0.015,-1.823908741,0.122474487,3.6,6.1,2.469817807,0.785329835,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-387,Padina sp.,Phaeophyceae,0.8,0.008,0.009,-2.045757491,0.09486833,4.7,7.2,2.683281573,0.857332496,57,51-60,Mesophotic,Kure,a,NWHI
NWHI-384,Microdictyon sp.,Chlorophyta,1,0.01,0.011,-1.958607315,0.104880885,3,5.5,2.34520788,0.740362689,57,51-60,Mesophotic,Kure,a,NWHI
NWHI-448,Microdictyon sp.,Chlorophyta,3,0.03,0.031,-1.508638306,0.176068169,4.1,6.6,2.569046516,0.819543936,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-446,Halimeda sp.,Chlorophyta,1.5,0.015,0.016,-1.795880017,0.126491106,4.5,7,2.645751311,0.84509804,88,81-90,Mesophotic,Kure,a,NWHI
NWHI-444,Gracilaria sp.,Rhodophyta,1.1,0.011,0.012,-1.920818754,0.109544512,3.8,6.3,2.50998008,0.799340549,87,81-90,Mesophotic,Kure,a,NWHI
NWHI-395,Distromium sp.,Phaeophyceae,1.3,0.013,0.014,-1.853871964,0.118321596,5,7.5,2.738612788,0.875061263,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-414,Dictyota sp.,Phaeophyceae,0.7,0.007,0.008,-2.096910013,0.089442719,3.6,6.1,2.469817807,0.785329835,52,51-60,Mesophotic,Kure,a,NWHI
NWHI-401,Dictyota sp.,Phaeophyceae,1.1,0.011,0.012,-1.920818754,0.109544512,4.9,7.4,2.720294102,0.86923172,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-391,Dictyota sp.,Phaeophyceae,1.3,0.013,0.014,-1.853871964,0.118321596,4.7,7.2,2.683281573,0.857332496,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-423,Dictyota sp.,Phaeophyceae,1.4,0.014,0.015,-1.823908741,0.122474487,4.9,7.4,2.720294102,0.86923172,91,91-100,Mesophotic,Kure,a,NWHI
NWHI-388,Dictyopteris sp.,Phaeophyceae,1.5,0.015,0.016,-1.795880017,0.126491106,4.1,6.6,2.569046516,0.819543936,57,51-60,Mesophotic,Kure,a,NWHI
